word	sense_i	sense_j	sim	sense_i_cluster	sense_j_cluster
ant	bn:00004458n	1	0.026722	emmet,formicidae,worker,profile,pismire,ants,formica,fire,heraldry,insect,scheme,anatomy,🐜,family,trail	wasp,gilled,procyonidae,dasyurid,fossorial,lepidopteran,lizard,jawless,leafhoppers,beetle,insect,cervidae,agamidae,mantises,mustelidae
apache	bn:01932513n	1	0.137395	server,software,web,http,apache http server,apache web server,httpd,apache httpd,webserver,apache webserver,apache server,apache2,free,stronghold,www	mysql,software,net,postgresql,application,php,plugin,ajax,api,mozilla,web,framework,gcj,activex,gtk
apache	bn:00004824n	2	0.095343	tribe,apachean,native,american,apache tribe,indians,ˀa˙paču,apache indians,people,apaches,united,apacheans,state,group,mexico	chiricahua,mescalero,lipan,kiowa,jicarilla,ute,shoshone,paiute,hoopa,pecos,mohave,jemez,yavapai,gila,zuni
apollo	bn:03278962n	2	0.114504	spacecraft,apollo spacecraft,diagram,module,command,modulo,cm,service,program,lunar,sm,american,control,manned,modul	skylab,gemini,module,orbiter,manned,shuttle,payload,lander,mission,orbital,iss,spacelab,sts,mir,atlantis
apollo	bn:00168779n	2	0.018732	crater,d.,moon,brown,d. brown,impact,ramon,mccool,chawla,husband,apollo crater,clark,m.,anderson,far	skylab,gemini,module,orbiter,manned,shuttle,payload,lander,mission,orbital,iss,spacelab,sts,mir,atlantis
apple	bn:03739345n	1	0.071899	image,computer,macintosh,company,inc.,inc,store,imac,ibook,incorporated,g4,power,computers,g3,state	macintosh,hardware,pc,microsoft,ibm,pcs,dos,emulator,computers,beos,pocketpc,symbian,macs,workstation,prodos
apple	bn:00005054n	5	0.052020	malus,tree,apples,green,fruit,pomiculture,blossom,apple blossom,red,peel,domestica,apple-blossom,apple-blossoms,epli,apple-tree	pie,tree,fish,tomato,cake,coconut,armpit,whiskey,bucket,sandwich,watermelon,spray,tortoise,pond,custard
apple	bn:00005076n	5	0.067310	tree,malus,apple tree,domestica,cross,section,red,plant,appleoutput,bear,pommes,eve,jabłko,mcintosh,genu	pie,tree,fish,tomato,cake,coconut,armpit,whiskey,bucket,sandwich,watermelon,spray,tortoise,pond,custard
apple	bn:00005055n	5	0.054400	malus,tree,pumila,malus pumila,section,red,domestica,cross,plant,appleoutput,orchard apple tree,pommes,eve,jabłko,mcintosh	pie,tree,fish,tomato,cake,coconut,armpit,whiskey,bucket,sandwich,watermelon,spray,tortoise,pond,custard
bass	bn:14498794n	3	0.064624	instrument,bass instrument,low,slap-back,sound,section,range,musical,produce,contrabass,tenor,play,describe,tone,middle	flute,saxophones,glockenspiel,harp,vibraphone,tenor,acoustic,guitars,accordion,organ,banjo,tuba,ukulele,woodwinds,contrabass
bass	bn:00008917n	3	0.120358	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	flute,saxophones,glockenspiel,harp,vibraphone,tenor,acoustic,guitars,accordion,organ,banjo,tuba,ukulele,woodwinds,contrabass
bass	bn:00008917n	5	0.103093	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	guitar,basslines,keyboard,drum,vibrato,percussive,fretless,percussion,fretted,riffs,overdriven,amplified,synths,treble,drone
bass	bn:00008917n	4	0.076271	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	keyboard,harmonica,rhythm,percussionist,renbourn,mandolinist,session,sax,guitarist,lead,keyboardist,bandmember,pete,backing,vibraphonist
bass	bn:00008917n	1	0.075607	guitar,instrument,fender,jazz,precision,note,pickup,bassguitarnotes,range,music,american,play,electric,steve,paul	guitar,percussion,guitars,fiddle,rhythm,sax,harmonica,violin,piano,tenor,saxophone,trombone,trumpet,bassist,mandolin
brother	bn:00011357n	3	0.048712	family,sibling,blood brother,blood,sister,male,joshua,half,washington,someone,arnold,reynolds,prince,døtrene,dorothea	uncle,cousin,wife,grandfather,spouse,francis,william,succeeded,paternal,humphrey,youngest,sister,augustus,robert,marriage
brother	bn:00011357n	4	0.039339	family,sibling,blood brother,blood,sister,male,joshua,half,washington,someone,arnold,reynolds,prince,døtrene,dorothea	cousin,father,sister,mentor,son,wife,partner,uncle,childhood,friend,girlfriend,schoolmate,cousins,colleague,penny
brother	bn:16050919n	3	0.040673	person,another,parent,male,joshua,family,panamanian,domestic,biology,son,ii,sibling,prairie,wilber,reynolds	uncle,cousin,wife,grandfather,spouse,francis,william,succeeded,paternal,humphrey,youngest,sister,augustus,robert,marriage
brother	bn:16050919n	4	0.031233	person,another,parent,male,joshua,family,panamanian,domestic,biology,son,ii,sibling,prairie,wilber,reynolds	cousin,father,sister,mentor,son,wife,partner,uncle,childhood,friend,girlfriend,schoolmate,cousins,colleague,penny
capital	bn:02313486n	2	0.061333	ecclesiastical,region,religion,ecclesiastical capital,place,religious,pre,adherent,consider,within,eminent,particular,capital religion	city,region,province,zamboanga,chipata,daanbantayan,malaga,maseru,administrative,luya,quito,lima,piura,antsiranana,pirkanmaa
capital	bn:00015498n	2	0.066430	city,government,seat,capital city,country,provincial,de,state,parliament,town,capital cities,provincial capital,designate,capitals,large	city,region,province,zamboanga,chipata,daanbantayan,malaga,maseru,administrative,luya,quito,lima,piura,antsiranana,pirkanmaa
capital	bn:00015496n	3	0.064893	working,financial,working capital,real,good,financial capital,business,real capital,money,economics,use,service,asset,production,finance	venture,aig,brokerage,equity,stock,equities,recapitalization,nonperforming,underwriting,debt,etf,lending,leveraged,bonds,securitization
capital	bn:00056922n	2	0.054134	city,national capital,national,de,provincial,state,parliament,town,country,capital cities,provincial capital,government,capitals,large,forward capital	city,region,province,zamboanga,chipata,daanbantayan,malaga,maseru,administrative,luya,quito,lima,piura,antsiranana,pirkanmaa
cassandra	bn:00674523n	1	0.008150	complex,syndrome,metaphor,cassandra complex,cassandra syndrome,cassandras,cassandra disease,disease,psychology,cassandra metaphor,phenomenon,cassandra phenomenon,disbelieve,warning,cassandra's	aphrodite,wanda,lilith,lyta,kyle,maia,batman,merlin,kara,circe,powerless,grayven,diana,cassie,victor
cassandra	bn:03802333n	3	0.022362	game,video,character,alexandra,cassandra alexandra,soul,fictional,series,warrior,woman,people,introduce,cassandra soul calibur,female,fantasy	pamela,stepmother,mildred,charlotte,doris,anne,iris,elizabeth,marries,joan,betsy,dora,stepsister,stepdaughter,adele
citizen	bn:00789336n	4	0.108935	newspaper,chicago,lerner,news-star,life,newspapers,lerner newspapers,company,booster,skyline,voice,chain,weekly,group,illinois	news,enterprise,spectator,citizens,gazette,propublica,insider,columnist,reporter,financial,editor,ledger,wired,globe,mpls
citizen	bn:15489147n	2	0.163803	member,state,right,citizenship,government,law,owe,recognize,allegiance,naturalized,society,migration,dual,politics,native	agency,person,resident,institution,citizenship,citizens,naturalisation,entitlement,employer,reasonable,member,persons,residency,applicant,employee
cloud	bn:00020001n	1	0.085480	mass,smoke,dust,e.g.,particle,resemble,gas,collection,visible,steam	clouds,dust,plume,noctilucent,atmosphere,meteoroids,convective,masses,accretion,accreting,cores,interstellar,debris,regolith,magma
cloud	bn:00083292v	1	0.057160	obscure,befog,becloud,obnubilate,fog,mist,haze,haze over,hide,overspread,unclear,less,visible,sight,put	clouds,dust,plume,noctilucent,atmosphere,meteoroids,convective,masses,accretion,accreting,cores,interstellar,debris,regolith,magma
cloud	bn:00020002n	1	0.100433	cumulus,clouds,sky,water,cloudy,visible,type,cirrus,suspend,panorama,☁,mass,droplet,de,view	clouds,dust,plume,noctilucent,atmosphere,meteoroids,convective,masses,accretion,accreting,cores,interstellar,debris,regolith,magma
delphi	bn:00026074n	1	0.090862	greece,temple,site,sanctuary,apollo,ancient,greek,oracle,archaeological,delphoi,δελφοί,delfoi,delfi,07delphi,rock	eleusis,oracle,bassae,mycenae,ephesus,apollo,zeus,aesculapius,etruscan,thebes,delphic,nemea,delos,claros,acropolis
jaguar	bn:00688731n	2	0.110157	car,cars,type,motor,front,manufacturer,jaguar cars,company,british,xk,jaguar car,england,xf,automobile,e	ford,cosworth,bmw,mg,chassis,gt,honda,sunbeam,holden,rover,dodge,gti,mazda,vw,sport
jaguar	bn:00688731n	4	0.070634	car,cars,type,motor,front,manufacturer,jaguar cars,company,british,xk,jaguar car,england,xf,automobile,e	honda,prodrive,penske,f1,lola,962c,lotus,privateer,brm,mclaren,motorsports,ford,toyota,brabham,racecar
java	bn:00048043n	4	0.123065	language,programming,orient,object,java programming,computer,specification,code,javax,tostring,java programming language,notifyall,posse,java language specification,.java	compiler,python,api,apis,jvm,bindings,php,runtime,compilers,javascript,extensions,smalltalk,libraries,perl,applescript
java	bn:00048042n	3	0.065275	island,indonesia,jawa,java island,tmnr,collectie,jakarta,djawa,tropenmuseum,id-jw,ꦗꦮ,java-indonesia,borobudur,jawa,,prambanan	sumatra,surabaya,borneo,batavia,palembang,malaya,makassar,island,formosa,philippines,islands,indies,condore,lingga,mindanao
java	bn:00048042n	2	0.065255	island,indonesia,jawa,java island,tmnr,collectie,jakarta,djawa,tropenmuseum,id-jw,ꦗꦮ,java-indonesia,borobudur,jawa,,prambanan	kalimantan,borneo,bali,nias,nusa,timor,bangka,riau,maluku,tenggara,sumbawa,aceh,belitung,kabupaten,simeulue
java	bn:03241725n	1	0.140519	platform,sun,java platform,application,software,mascot,java mascot,jusched,java™,sunjava,sun java,oracle,java.com,duke,environment	j2ee,web,net,framework,application,api,sdk,browser,enterprise,mysql,ee,ajax,php,plugin,implementation
jena	bn:00009117n	3	0.034552	battle,der,napoleon,germany,auerstedt,jena-auerstedt,auerstaedt,victory,auerstadt,iena,auerstädt,bei,auf,die,und	auerstedt,eutin,heidelberg,tyrol,osnabruck,kaiserslautern,hernals,ilmenau,minden,amberg,ludwigsburg,frankfurt,ulm,schleiz,tubingen
julia	bn:00175546n	4	0.164815	roman,drusus,daughter,emperor,drusi,livilla,caesar,julius,caesaris,claudia,julia drusi caesaris,woman,granddaughter,execute,claudia julia	agrippina,claudia,caesaris,pompeia,cornelia,scribonia,vipsania,drusus,mamaea,domna,drusilla,livilla,aemilia,pulchra,messalina
julia	bn:03177083n	4	0.117832	caesaris,caesar,marius,wife,bc,aunt,julia caesaris,roman,julius,century,julia,,julia maria,maria,julia, aunt of caesar and wife of marius,julio	agrippina,claudia,caesaris,pompeia,cornelia,scribonia,vipsania,drusus,mamaea,domna,drusilla,livilla,aemilia,pulchra,messalina
julia	bn:03177071n	4	0.155946	caesar,daughter,julius,bc,caesaris,roman,cinna,cornelia,julia caesaris,death,gaius,dictator,julia,,rsc,child	agrippina,claudia,caesaris,pompeia,cornelia,scribonia,vipsania,drusus,mamaea,domna,drusilla,livilla,aemilia,pulchra,messalina
julia	bn:02585520n	4	0.041483	gens,julius,julii,iulii,julian,ancient,iulius,iulia,house,one,gens iulia,family,julian clan,rome,caesar	agrippina,claudia,caesaris,pompeia,cornelia,scribonia,vipsania,drusus,mamaea,domna,drusilla,livilla,aemilia,pulchra,messalina
julia	bn:14138257n	2	0.034410	simon,nick,song,single,dutch,julia nick & simon song,number,schilder,one,volendam,sterker,keizer,album,singer,consist	maggie,jessica,karen,laura,angela,rebecca,debbie,jenny,beth,sadie,katherine,katie,susan,zoe,gwen
network	bn:00057379n	3	0.079814	web,people,system,line,body,node,relationship,link,connect,human,data,interconnect,anything,personal,advancement	suburban,lines,intercity,metrolink,route,motorway,railways,mainline,service,tram,feeder,subway,transportation,transport,metrobus
network	bn:00057379n	2	0.063471	web,people,system,line,body,node,relationship,link,connect,human,data,interconnect,anything,personal,advancement	networks,connection,protocol,communication,access,virtual,ethernet,host,packet,router,connectivity,ip,device,vpn,server
network	bn:00024712n	2	0.097829	internet,cyberspace,net,computer,inter-net,global,use,user,protocol,map,information,international,interwebz,public,infrastructure	networks,connection,protocol,communication,access,virtual,ethernet,host,packet,router,connectivity,ip,device,vpn,server
network	bn:00024712n	5	0.084725	internet,cyberspace,net,computer,inter-net,global,use,user,protocol,map,information,international,interwebz,public,infrastructure	worldwide,initiative,alliance,community,advocacy,project,witsa,nonprofit,partners,working,actionaid,programme,cooperative,networking,professionals
network	bn:00057380n	4	0.119792	television,tv,television network,networks,tv network,network tv,station,program,broadcast,show,network show,network television,broadcast television network,pay,system	fox,cbs,mynetworktv,wb,networks,mynetwork,abc,tv,tbs,cw,tnt,kpho,wqad,primetime,hd
network	bn:00057381n	3	0.078207	system,line,channel,intersect	suburban,lines,intercity,metrolink,route,motorway,railways,mainline,service,tram,feeder,subway,transportation,transport,metrobus
network	bn:00057381n	2	0.069710	system,line,channel,intersect	networks,connection,protocol,communication,access,virtual,ethernet,host,packet,router,connectivity,ip,device,vpn,server
network	bn:00745971n	4	0.064062	television,series,canadian,variety,ctv,season,tv,network tv series,debut,one,show,1962-63,ending,air	fox,cbs,mynetworktv,wb,networks,mynetwork,abc,tv,tbs,cw,tnt,kpho,wqad,primetime,hd
network	bn:00021488n	2	0.163799	computer,networking,data,internet,networks,computer network,workgroups,system,computer networking,information,datacomm,technology,communications,net,datacom	networks,connection,protocol,communication,access,virtual,ethernet,host,packet,router,connectivity,ip,device,vpn,server
oracle	bn:01291337n	5	0.046062	software,testing,test,test oracle,oracle testing,use,oracle software testing,tester,whether,mechanism,fail,computing,determine,pass,engineer	technologies,inc,software,3com,microsoft,ibm,intel,idt,symantec,ciena,fujitsu,corporation,apple,softquad,startup
oracle	bn:01567301n	5	0.073961	company,corporation,oracle corporation,software,oracle corp,oracle corp.,oracle.com,corp.,orcl,scoracle,inquira,redwood,california,corp,multinational	technologies,inc,software,3com,microsoft,ibm,intel,idt,symantec,ciena,fujitsu,corporation,apple,softquad,startup
oracle	bn:02591895n	1	0.093686	database,oracle database,software,management,oracle8i,system,instantclient,oracle8,oracle11i,oracle11g,oracle9i,express,dbms,oracle dbms,oracle 11i	sql,postgresql,ldap,database,db2,rdbms,ejb,application,dbms,websphere,mysql,j2ee,embedded,middleware,web
oracle	bn:00059237n	2	0.075271	god,shrine,oracular,consult	delphi,cult,mithras,aesculapius,trophonius,nekhbet,delphic,ptah,apollo,eridu,pantheon,sabazius,oracular,harpocrates,myth
pascal	bn:00011093n	3	0.065463	blaise,french,philosopher,blaise pascal,mathematician,christian,writer,roman,17th,century,physicist,pascalian,etienne,saint,catholic	alain,philippe,dominique,jacques,claude,gilles,jean,benoit,armand,serge,andre,laurent,mathieu,gerard,henri
pascal	bn:00060857n	2	0.088999	language,programming,pascal programming language,iso,.pas,.p,x3j9,pascal-xsc,pascal-sc,pascal language,niklaus,wirth,design,program,bs 6192	fortran,compiler,matlab,cobol,perl,lisp,compilers,smalltalk,prolog,ocaml,python,java,syntax,haskell,interpreter
port	bn:00063641n	2	0.034772	wine,porto,douro,port wine,tawny,e,port-style,instituto,fortify,portugal,colheita,vinho,port-wine,ivdp,portwine	ports,seaport,seaports,harbours,harbor,transportation,gateway,wharves,city,linking,major,transshipment,principal,fiskardo,town
port	bn:03277793n	3	0.071180	tcp,computer,udp,ports,network,tcp port,networking,tcp and udp port,communication,ip,internet,port numbers,numbering,internet port,network port	ports,controller,interface,adapter,card,dma,firmware,mode,host,boot,device,dongle,scsi,running,bus
port	bn:03277793n	2	0.046742	tcp,computer,udp,ports,network,tcp port,networking,tcp and udp port,communication,ip,internet,port numbers,numbering,internet port,network port	ports,seaport,seaports,harbours,harbor,transportation,gateway,wharves,city,linking,major,transshipment,principal,fiskardo,town
port	bn:00047090n	3	0.092656	interface,computer,software,interface pattern,software interface,science,pattern,programming,interfaces,point,system,link,like,computer interface,interface software	ports,controller,interface,adapter,card,dma,firmware,mode,host,boot,device,dongle,scsi,running,bus
port	bn:00063640n	2	0.192792	harbour,ports,seaports,ice-free,fishing,harbor,water,deepwater,view,sea,ice,contain,free,sea-port,ship	ports,seaport,seaports,harbours,harbor,transportation,gateway,wharves,city,linking,major,transshipment,principal,fiskardo,town
port	bn:00063640n	5	0.079072	harbour,ports,seaports,ice-free,fishing,harbor,water,deepwater,view,sea,ice,contain,free,sea-port,ship	island,anchorage,anchored,warship,manila,tulagi,bermuda,guam,manus,hagushi,steaming,gibraltar,turnerjoy,ulithi,majuro
python	bn:01713224n	2	0.104713	language,programming,pythonista,python programming language,python programming,.pyc,python philosophy,python3,python2,level,computer,pythonistas,python3000,high,pythonic	perl,php,java,smalltalk,ruby,lua,tcl,scripting,javascript,bindings,programming,coldfusion,compiler,actionscript,net
python	bn:00046456n	3	0.068071	molurus,indian,boa,tigris,tiger python,rock,tiger,indian python,reptile,python molurus,indian rock python,coluber,bivittatus,asia,pimbura	spectacled,unicornis,snake,giant,caiman,leopard,squirrel,crocodile,horned,cat,mole,elephant,opossum,pheasant,zebra
python	bn:01157670n	1	0.108426	monty,comedy,monty python,british,monte,monte python,troupe,pythonesque,foot,artist,record,surreal,terry,cannesphotocall,wall	monty,circus,spamalot,python,magoo,goon,muppet,snoopy,featurette,disney,tunes,classic,shorts,apocalypse,spoofs
python	bn:01157670n	4	0.064465	monty,comedy,monty python,british,monte,monte python,troupe,pythonesque,foot,artist,record,surreal,terry,cannesphotocall,wall	circus,flying,dusk,lizard,moth,unicorn,puff,adder,vulture,tyrannosaurus,zephyr,badger,reindeer,dane,rider
raspberry	bn:00066209n	1	0.043873	rubus,plant,fruit,idaeus,hindberry,bababerry,rasberries,hindberries,raspberries,specie,red,framboise,raspberries05,gold,blue raspberry	peach,strawberry,cherry,apricot,lemon,blackcurrant,cranberry,apple,mint,ginger,thyme,currants,pomegranate,marjoram,parsley
ruby	bn:00332496n	4	0.038547	andrews,c.,series,virginia,v.,dollanganger,novel,american,writer,vc andrews,mist,v. c. andrews,pearl,woman,pearl in the mist	faye,elaine,carol,maggie,karen,carrie,cheryl,zoe,valerie,michelle,cindy,sue,ryder,mary,crawford
ruby	bn:00098581a	3	0.086646	red,scarlet,cherry,carmine,reddish,blood-red,crimson,color,colour,cherry-red,cerise,ruby-red,ruddy,deep,bright	shimmer,crystal,dragon,emerald,keronian,pearl,mermaid,sapphire,jewel,violet,beryl,necklace,raven,golden,pink
ruby	bn:00098581a	1	0.047838	red,scarlet,cherry,carmine,reddish,blood-red,crimson,color,colour,cherry-red,cerise,ruby-red,ruddy,deep,bright	lisa,golden,violet,dee,white,pigeon,fruiteater,hemispingus,purple,scrubwren,barn,monjita,canyon,black,sheathbill
ruby	bn:00023833n	3	0.078653	crimson,color,deep,red,carmines,carminic,utah,acid,folly,harvard,deep red,rose,utah crimson,american rose,pigment	shimmer,crystal,dragon,emerald,keronian,pearl,mermaid,sapphire,jewel,violet,beryl,necklace,raven,golden,pink
ruby	bn:16488248n	3	0.036134	color,rubious,red,ruby red,antique,cut,antique ruby,representation,polished,gemstone,gem,ruby color	shimmer,crystal,dragon,emerald,keronian,pearl,mermaid,sapphire,jewel,violet,beryl,necklace,raven,golden,pink
ruby	bn:01928079n	2	0.112408	language,programming,ruby programming language,orient,.rb,ruby-language,ruby-gnome2,object,dynamic,general,matsumoto,ruby language,reflective,purpose,yukihiro	python,perl,smalltalk,tcl,lua,php,javascript,coldfusion,e4x,net,scripting,jsp,bindings,lisp,ecmascript
ruby	bn:13773056v	1	0.043385	make,redden,red	lisa,golden,violet,dee,white,pigeon,fruiteater,hemispingus,purple,scrubwren,barn,monjita,canyon,black,sheathbill
ruby	bn:13773056v	3	0.042050	make,redden,red	shimmer,crystal,dragon,emerald,keronian,pearl,mermaid,sapphire,jewel,violet,beryl,necklace,raven,golden,pink
ruby	bn:00068490n	3	0.035472	corundum,variety,gemstone,mineral,red,rubies,ruby mines,mines,aluminium,deep,pink,created ruby,blood,created,oxide	shimmer,crystal,dragon,emerald,keronian,pearl,mermaid,sapphire,jewel,violet,beryl,necklace,raven,golden,pink
rust	bn:16151919n	1	0.061121	shade,red,color,resemble,oxide,iron,bridge,rust color,brown,3008px,rusty,rust colour,railroad,panel,orange-brown-color	stains,resin,powdery,waxy,oxidized,pigment,stained,rot,blister,resinous,mold,pigments,exfoliating,yellowing,cronartium
rust	bn:00068634n	1	0.066137	steel,brown,iron,oxygen,coating,oxide,moisture,action,cause,red	stains,resin,powdery,waxy,oxidized,pigment,stained,rot,blister,resinous,mold,pigments,exfoliating,yellowing,cronartium
rust	bn:00068635n	1	0.107569	brown,plant,leaf,reddish,disease,fungi,stem,produce,various,cause,discoloration	stains,resin,powdery,waxy,oxidized,pigment,stained,rot,blister,resinous,mold,pigments,exfoliating,yellowing,cronartium
rust	bn:00068636n	3	0.073299	iron,rusting,oxide,rusted,rusts,feo3,rost,water,presence,moisture,brown,collapse,form,chemistry rust,steel	rusting,buckled,cracked,sinking,rot,molten,rusted,corroded,ore,deteriorated,dirt,crusher,rotted,smelt,heat
soul	bn:01230702n	2	0.090449	album,seal,cover,single,'s,record,sixth,musician,bros,release,produce,studio,sean,world,november	midnight,love,kiss,sweet,crazy,bad,kid,pain,blaque,dreams,song,shine,featuring,dream,boy
soul	bn:16817542n	2	0.086203	song,generation,chinese,girl,language,korean,blade & soul chinese theme song,single,girls',blade,find,theme,'s,s.m,find your soul girls' generation song	midnight,love,kiss,sweet,crazy,bad,kid,pain,blaque,dreams,song,shine,featuring,dream,boy
soul	bn:01604595n	2	0.069560	album,kentucky,headhunter,rock,sixth,southern,band,studio,khhsoul,e1,headhunters,soul the kentucky headhunters album,country,american,music	midnight,love,kiss,sweet,crazy,bad,kid,pain,blaque,dreams,song,shine,featuring,dream,boy
soul	bn:00072888n	5	0.097057	music,genre,soul music,pop,soul-pop,pop-soul,charles,black,pop soul,soul rock,crop,soul genre,rock,1960s,soul pop	blues,flavored,gospel,rockabilly,bluegrass,disco,dub,fusion,ska,electronica,ragga,r,dancehall,psychedelic,hiphop
soul	bn:00072886n	4	0.089408	soulfulness,essence,souls,psyche,death,aiua,immortal,aiúa,yechidah,spirit,chayah,neshoma,attha,religious,philosophical	essence,immortality,mind,eternal,knowledge,creator,intellect,spiritual,manifestation,divine,god,atman,creation,emptiness,duality
soul	bn:00072887n	4	0.082475	embodiment,human,something	essence,immortality,mind,eternal,knowledge,creator,intellect,spiritual,manifestation,divine,god,atman,creation,emptiness,duality
spark	bn:00005361n	1	0.125376	electric,arc,discharge,electrical,electric arc,arcing,electric discharge,ga,electric spark,plasma,arcs,lichtbogen,current,glow,produce	ignition,induction,hydraulic,pump,turbine,injectors,egr,arc,flywheel,motor,heater,rotary,compressors,reciprocating,generator
spark	bn:01083625n	3	0.037253	lodoss,war,record,records,record of lodoss war,records of lodoss war,senki,fantasy,chronicles,knight,rolw,heroic,anime,record of the lodoss wars,rodosu-to senki	stir,instigate,counter,crystallize,ignite,dispel,counteract,provoke,foment,reinvigorate,popularize,publicise,incite,avert,precipitate
spark	bn:14838830n	4	0.038796	sparks,album,heap,imogen,lifeline,lifeline imogen heap song,concept,song,sparks imogen heap album,spark imogen heap album,studio,fourth,english,recording,artist	hot,chopper,piledriver,dynamite,28sirius,28telecommunications,shade,28automotive,hottie,musket,snoozer,28robot,crowbar,demolition,oscillator
spark	bn:00073130n	1	0.032615	particle,fire,small,incandescent,grinder,either,burn,glow,molten,matter,shin,creation,friction,robotworx,allegheny	ignition,induction,hydraulic,pump,turbine,injectors,egr,arc,flywheel,motor,heater,rotary,compressors,reciprocating,generator
spark	bn:01957241n	1	0.031741	energon,allspark,transformer,protoforms,cube,protoform,source,all spark,power,energon power source,allspark cube,energon cube,life,transformers,singapore	ignition,induction,hydraulic,pump,turbine,injectors,egr,arc,flywheel,motor,heater,rotary,compressors,reciprocating,generator
tomcat	bn:00077530n	2	0.083287	cat,tom,kitten,white,anatomy,de,gatto,scheme,black,chat,felis,sleep,gato,katze,crop	furred,gerbil,nack,hunter,cat,rooster,dingodile,owl,slippy,zilla,flicky,tiny,penguin,kitten,parrot
